"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Nederlands","","1749381055","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","top 0010","","1749381077","0","12",
"packs","71","top 0025","","1749381077","0","12",
"packs","72","top 0050","","1749381077","0","12",
"packs","73","top 0100","","1749381077","0","12",
"packs","74","top 0250","","1749381077","0","12",
"packs","75","top 0500","","1749381077","0","12",
"packs","76","top 1000","","1749381077","0","12",
"packs","77","top 2500","","1749381077","0","12",
"packs","78","top 5000","","1749381077","0","12",
"cards","8121","hem",".","73","0","1749381835","**hem** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/hem/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=hem)","0"
"cards","8122","iets",".","73","0","1749381835","**iets** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/iets/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=iets)","0"
"cards","8123","komen",".","73","0","1749381835","**komen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/komen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=komen)","0"
"cards","8124","maken",".","73","0","1749381835","**maken** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/maken/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=maken)","0"
"cards","8125","men",".","73","0","1749381835","**men** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/men/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=men)","0"
"cards","8126","mens",".","73","0","1749381835","**mens** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/mens/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=mens)","0"
"cards","8127","mijn",".","73","0","1749381835","**mijn** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/mijn/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=mijn)","0"
"cards","8128","miljoen",".","73","0","1749381835","**miljoen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/miljoen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=miljoen)","0"
"cards","8129","na",".","73","0","1749381835","**na** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/na/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=na)","0"
"cards","8130","nieuw",".","73","0","1749381835","**nieuw** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/nieuw/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=nieuw)","0"
